name,artist,year,producer,genre,language,length,label
Something,The Beatles,1969,Джордж Мартин,софт-рок,английский,3:01,Apple Records
Sweet Little Sixteen,Чак Берри,1958,"Леонард Чесс,Фил Чесс",Рок-н-ролл,английский,3:02,Chess Records
Sloop John B,The Beach Boys,1966,Брайан Уилсон,"Фолк-рок,,,чеймбер-поп,",английский,2:59,Capitol
He Stopped Loving Her Today,Джордж Джонс,1980,,кантри,,3:15,Epic
Personality Crisis,New York Dolls,1973,Тодд Рандгрен,"глэм-рок,панк-рок,хард-рок",,3:41,Mercury Records
Tighten Up,Archie Bell and the Drells,1968,,Фанк,,3:15 ,Atlantic
Walking in the Rain,The Ronettes,1964,Фил Спектор,R&B,,2:35,Philles
"Oh, What a Night",The Dells,1969,,,,,
I Can See for Miles,The Who,1967,,"психоделический рок,,пауэр-поп,,хард-рок,,психоделия,",английский,4:05,Track
Roadrunner,The Modern Lovers,1976,Джон Кейл,,,,
Jesus Walks,Канье Уэст,2004,Канье Уэст,Альтернативный хип-хоп,английский,3:13,Roc-A-Fella
Sail Away,Рэнди Ньюмен,1972,,,,,
Wild Thing,The Troggs,1966,,"гаражный рок,,хард-рок,,прото-панк,",,2:30,Fontana
Heart of Glass,Blondie,1978,Майк Чепмен,"новая волна,диско,Rock and roll,","английский,английский",5:48 ,Chrysalis
Highway to Hell,AC/DC,1979,,"хард-рок,",английский,3:28,Albert
Mack the Knife,Бобби Дарин,1959,Ахмет Эртегюн,"Зонг,Джаз,Джаз","немецкий,немецкий",3:25,Columbia Records
Money Honey,The Drifters,1953,"Ахмет Эртегюн,Джерри Векслер","ритм-энд-блюз,рок-н-ролл","английский,английский",,Atlantic
Paranoid Android,Radiohead,1997,Найджел Годрич,"альтернативный рок,арт-рок,прогрессивный рок,нео-прог",,6:23,Parlophone
All the Young Dudes,Mott the Hoople,1972,Дэвид Боуи,глэм-рок,английский,,Columbia
Paranoid,Black Sabbath,1970,,хеви-метал,английский,2 ,Vertigo
Rapper’s Delight,The Sugarhill Gang,1979,Сильвия Робинсон,"хип-хоп,,,диско,фанк,,,,",английский,,Sugar Hill
Mississippi,Боб Дилан,2001,Боб Дилан,,,,
Chain of Fools,Арета Франклин,1967,Джерри Векслер,"R&B,соул,рок",,4:03 (оригинальная неизданная запись),Atlantic
The Night They Drove Old Dixie Down,The Band,1969,The Band,"Рутс-рок,американа,южный рок,фолк","английский,английский",3 мин. 33 с.,Capitol
Rocket Man,Элтон Джон,1972,,"Поп,Софт-рок,Спейс-рок",английский,4:41,DJM
(Your Love Keeps Lifting Me) Higher and Higher,Джеки Уилсон,1967,,"Chicago soul,глэм-рок","английский,английский",2:59,Brunswick Records
Hot Fun in the Summertime,Sly & the Family Stone,1969,Слай Стоун,,,,
Love Shack,The B-52s,1989,Найл Роджерс,"поп-рок,,дэнс-рок,",американский английский,5:21 (альбомн. вер.),Reprise
The Wanderer,Дион,1961,,"ритм-н-блюз,pop,рок-н-ролл,кантри","английский,английский",2:51,Laurie
Son of a Preacher Man,Дасти Спрингфилд,1968,Джерри Векслер,"голубоглазый соул,R&B",английский,2:29,Atlantic
Gimme Some Lovin’,The Spencer Davis Group,1966,Джимми Миллер,,,,
Stand!,Sly & the Family Stone,1969,Слай Стоун,,,,
I Fall to Pieces,Пэтси Клайн,1961,,"кантри,традиционная поп-музыка",,2:47,Decca Records
We Gotta Get out of This Place,The Animals,1965,,"рок-н-ролл,блюз-рок",английский,3:17,Columbia Graphophone
I Got a Woman,Рэй Чарльз,1954,Джерри Векслер,Ритм-н-блюз,английский,2:48,Atlantic
Everyday,Бадди Холли,1957,,"Рок-н-ролл,Рок-н-ролл","английский,английский",2:09,Coral Records
I’ll Feel a Whole Lot Better,The Byrds,1965,,"фолк-рок,поп",английский,2:32,Columbia
Paper Planes,M.I.A.,2007,Diplo,"альтернативный хип-хоп,ворлдбит,альтернативная танцевальная музыка",,3:24,XL
Planet Rock,"Afrika Bambaataa,Soulsonic Force",1982,Afrika Bambaataa,,,,
Only the Lonely,Рой Орбисон,1960,,"поп,рок-н-ролл",английский,2:24,Monument
Sexual Healing,Марвин Гэй,1982,Марвин Гэй,"постдиско,соул,фанк",английский,(album version),Columbia
Just Like a Woman,Боб Дилан,1966,,"фолк-рок,,поп,",английский,4:53 ,Columbia
Mannish Boy,Мадди Уотерс,1955,"Леонард Чесс,Фил Чесс,Вилли Диксон",чикагский блюз,английский,2:55,Chess
Hoochie Coochie Man,Мадди Уотерс,1954,"Леонард Чесс,Фил Чесс,Вилли Диксон",Чикагский блюз,английский,2:48,Chess Records
Should I Stay or Should I Go,The Clash,1982,Глин Джонс,"Рок-музыка,,панк-рок,,арена-рок,",английский,3:06,Epic
Moondance,Ван Моррисон,1970,Ван Моррисон,,,,
Good Times,Chic,1979,"Бернард Эдвардс,Найл Роджерс",,,,
Fire and Rain,Джеймс Тейлор,1970,Питер Эшер,,,,
Walk Away Renée,The Left Banke,1966,,барокко-поп,,2:43,Smash
Spoonful,Хаулин Вулф,1960,"Леонард Чесс,Фил Чесс",блюз,английский,2:45,Chess
"Oh, Pretty Woman",Рой Орбисон,1964,,"рокабилли,хард-рок","английский,английский",2:59,Monument Records
Boom Boom,Джон Ли Хукер,1962,,"блюз,talking blues",,2:29,Vee-Jay
Walk on the Wild Side,Лу Рид,1972,"Дэвид Боуи,Мик Ронсон,Лу Рид",глэм-рок,английский,4:12 ,RCA
Jolene,Долли Партон,1973,,"кантри-поп,кантри","английский,английский",2 мин. 43 с.,RCA
Dance to the Music,Sly & the Family Stone,1968,Слай Стоун,,,,
Do You Believe in Magic,The Lovin’ Spoonful,1965,,"фолк-рок,,саншайн-поп,",,2:06,Kama Sutra
Your Cheatin’ Heart,Хэнк Уильямс,1953,Фред Роуз,"кантри,хонки-тонк,блюз",английский,2:38,MGM
Rockin’ in the Free World,Нил Янг,1989,Нил Янг,"хард-рок,хартленд-рок",английский,3:38 (акустич. вер.),Reprise
Bye Bye Love,The Everly Brothers,1957,,"рокабилли,кантри,рок-н-ролл",английский,,Cadence
Reach Out I’ll Be There,The Four Tops,1966,"Брайан Холланд, Ламонт Дозье, Эдди Холланд","соул,соул","английский,английский",3:01,Motown
"Caroline, No",The Beach Boys,1966,Брайан Уилсон,"барокко-поп,барокко-поп",,2:52,Capitol
In My Room,The Beach Boys,1963,Брайан Уилсон,"ду-воп,поп",английский,2:11,Capitol
Lean on Me,Билл Уизерс,1972,Билл Уизерс,соул,английский,4:17 (альбомн. вер.),
Gloria,Them,1964,,Рок,английский,2:38,Decca
96 Tears,Question Mark & the Mysterians,1966,,,,,
Try a Little Tenderness,Отис Реддинг,1966,"Джим Стюарт,Стив Кроппер",,,,
Positively 4th Street,Боб Дилан,1965,,фолк-рок,английский,,
Come Together,The Beatles,1969,Джордж Мартин,"блюз-рок,,хард-рок,блюз-рок","английский,английский",4:20,Apple Records
Bizarre Love Triangle,New Order,1986,New Order,"новая волна,,,синти-поп,",,4:22 ,Factory Records
Loser,Бек,1993,,"альтернативный рок,альтернативный хип-хоп,рэп-рок",,3:55,DGC Records
Hey Joe,The Jimi Hendrix Experience,1966,Чес Чендлер,"хард-рок,,блюз-рок,","английский,английский",2,Polydor
Don’t Be Cruel,Элвис Пресли,1956,,Рок-н-ролл,английский,2:04,RCA Records
Flash Light,Parliament,1977,Джордж Клинтон,,,,
Maybe,The Chantels,1957,,популярная музыка,английский,2:54,End
Peggy Sue,Бадди Холли,1957,,рок-н-ролл,английский,2:29,Coral
There Goes My Baby,The Drifters,1959,Джерри Либер и Майк Столлер,"соул,ритм-н-блюз,ду-воп,рок,пост-диско,синти-поп",,2:08,Atlantic Records
Stayin’ Alive,Bee Gees,1977,Bee Gees,"диско,евро-хаус,диско","английский,английский",4:45,RSO Records
Back in Black,AC/DC,1980,Матт Ланг,"хард-рок,",английский,4:14,Atlantic Records
Sweet Child O' Mine,Guns N’ Roses,1987,,"хард-рок,,,глэм-метал,,",английский,4:12 ,Geffen
I Never Loved a Man (The Way I Love You),Арета Франклин,1967,Джерри Векслер,"соул,блюз",,2:51,Atlantic
Who’ll Stop the Rain,Creedence Clearwater Revival,1970,Джон Фогерти,фолк-рок,английский,2:29,Fantasy
Desolation Row,Боб Дилан,1965,,"фолк-рок,панк-рок,","английский,английский",11:21,Reprise
Please Please Me,The Beatles,1964,Джордж Мартин,"мерсибит,,рок-н-ролл,,рок,бит","английский,английский",2:00,Parlophone
The Thrill Is Gone,Би Би Кинг,1969,,"блюз,ритм-н-блюз,соул",,5:24 (альбомная вер.),Bluesway
September Gurls,Big Star,1974,Big Star,"пауэр-поп,дженгл-поп",английский,2:41,Ardent
Save the Last Dance for Me,The Drifters,1960,Джерри Либер и Майк Столлер,"ритм-н-блюз,поп",английский,2:34,Atlantic
Free Fallin’,Том Петти,1989,Джефф Линн,"хартленд-рок,,фолк-рок,",английский,4:14,MCA Records
Green Onions,Booker T and the MG’s,1962,Джим Стюарт,"инструментальный рок,соул-джаз",,2:52,Stax
Don’t Worry Baby,The Beach Boys,1964,Брайан Уилсон,California Sound,английский,2:47,Capitol
Hey Ya!,Outkast,2003,,"Хип-хоп,фанк,поп,соул",,3:55,Arista
Dream On,Aerosmith,1973,,"хард-рок,блюз-рок",,3:25 (синглов. вер.),Columbia
99 Problems,Jay-Z,2003,Рик Рубин,Рэп-рок,,3:54,Roc-A-Fella
"Both Sides, Now",Джони Митчелл,1969,Джони Митчелл,фолк-рок,английский,4:32,Reprise
Losing My Religion,R.E.M.,1991,"Скотт Литт,R.E.M.",Альтернативный рок,английский,4:28,Warner Bros. Records
I Fought the Law,The Bobby Fuller Four,1966,,"рок-н-ролл,гаражный рок,,панк-рок","английский,английский,английский",2:12,Coral
God Save the Queen,Sex Pistols,1977,Крис Томас,"панк-рок,,NWOBHM","английский,английский",3:20,A&M
Dancing Queen,ABBA,1976,"Бьорн Ульвеус,Бенни Андерссон","диско,поп,поп-музыка","английский,английский",3:51,Polar
Let’s Get It On,Марвин Гэй,1973,Марвин Гэй,"соул,фанк",,4:53 ,Tamla
Fast Car,Трэйси Чэпмен,1988,,"фолк,поп,фолк-рок,кантри","английский,английский",,Elektra
Nothing Compares 2 U,Шинейд О’Коннор,1990,"Принс,Шинейд О’Коннор","поп-рок,софт-рок,новая волна",английский,5:11,Chrysalis
I Can’t Stop Loving You,Рэй Чарльз,1962,,"кантри,R&B,кантри-соул,традиционная поп-музыка","английский,английский",3:14,RCA Victor
Folsom Prison Blues,Джонни Кэш,1956,Сэм Филлипс,"рокабилли,,,кантри-блюз,,рок-н-ролл,",английский,2:50,Sun
Bring the Noise,Public Enemy,1988,Рик Рубин,хип-хоп,,3:45,Def Jam
Bohemian Rhapsody,Queen,1975,Рой Томас Бейкер,"прогрессивный рок,хард-рок,прогрессивный поп,хард-рок,опера,рок-баллада,хард-рок,рок-баллада,опера","английский,[1],английский,[1],английский,[1]",5:55,EMI
I’m Waiting for the Man,The Velvet Underground,1967,"Энди Уорхол,Том Уилсон","гаражный рок,,прото-панк,,хард-рок,",английский,04:39,Verve Records
Moment of Surrender,U2,2009,"Даниэль Лануа,Брайан Ино","рок,госпел",,7:24,Island
Rave On,"Бадди Холли,The Crickets",1958,,рок-н-ролл,,1:47,Coral
Rock Around the Clock,"Билл Хейли,The Comets",1954,Милт Гейблер,"Рок-н-ролл,рокабилли",,2:08,Decca Records
I Only Have Eyes for You,The Flamingos,1959,,"ду-воп,традиционная поп-музыка,софт-рок","английский,английский",3:20,End
The Sound of Silence,Simon & Garfunkel,1965,Том Уилсон,"фолк-рок,",английский,3:05,CBS
Proud Mary,Creedence Clearwater Revival,1969,Джон Фогерти,"рутс-рок,свомп-поп,",английский,3:07,Fantasy
Paint It Black,The Rolling Stones,1966,Эндрю Луг Олдэм,"психоделический рок,рага-рок",английский,(моно сингл mix),London Records
Eight Miles High,The Byrds,1966,,"психоделический рок,рага-рок,психоделический поп",английский,3:33,Columbia
Cathy’s Clown,The Everly Brothers,1960,,поп,английский,2:22,Warner Bros. Records
Lust for Life,Игги Поп,1977,Дэвид Боуи,"панк-рок,хард-рок",,5:11,RCA Records
Me and Bobby McGee,Дженис Джоплин,1971,Пол Ротшильд,"кантри,блюз-рок,кантри-рок","английский,английский",4 мин. 02 с.,Columbia
A Hard Day’s Night,The Beatles,1964,Джордж Мартин,"рок,джэнгл-поп",английский,2:32,Capitol Records
Foxey Lady,The Jimi Hendrix Experience,1965,Чес Чендлер,"психоделический рок,хард-рок,",английский,3:19,Reprise Records
Earth Angel,The Penguins,1954,,"Ритм-н-блюз,соул,ду-воп",,2:52,
All I Have to Do Is Dream,The Everly Brothers,1958,,Рок-н-ролл,английский,2:20,
Everyday People,Sly & the Family Stone,1968,Слай Стоун,"психоделический соул,фанк",английский,2:22,Epic
Purple Rain,"Принс,The Revolution",1984,Принс,"рок,,госпел,,соул,",английский,8:41 ,Warner Bros.
"Please, Please, Please","Джеймс Браун,Famous Flames",1956,Ральф Басс,ритм-н-блюз,английский,2:43,Federal
I Wanna Be Sedated,The Ramones,1978,Томми Рамон,панк-рок,,2:29,Sire
Kashmir,Led Zeppelin,1975,Джимми Пейдж,"Хард-рок,прогрессивный рок",английский,08:29,Swan Song
I Saw Her Standing There,The Beatles,1964,Джордж Мартин,рок-н-ролл,английский,2:55,Parlophone
Rock Lobster,The B-52s,1979,Крис Блэквелл,"новая волна,,дэнс-рок,",,,DB
Family Affair,Sly & the Family Stone,1971,Слай Стоун,Фанк,,3:06,Epic
Eleanor Rigby,The Beatles,1966,Джордж Мартин,"Барокко-поп,,арт-рок,,Ритм-энд-блюз","английский,английский",2:06,Capitol Records
Your Song,Элтон Джон,1970,,"поп,,рок,фолк,поп","английский,английский,английский",4:03,Uni
While My Guitar Gently Weeps,The Beatles,1968,Джордж Мартин,"хард-рок,,блюз-рок,",английский,04:46,Apple Records
In the Midnight Hour,Уилсон Пикетт,1965,"Джерри Векслер,Джим Стюарт","ритм-н-блюз,соул",,,Atlantic
Maggie May,Род Стюарт,1971,Род Стюарт,"рок,фолк-рок,софт-рок",английский,5 ,Mercury
Won’t Get Fooled Again,The Who,1971,"The Who,Глин Джонс","хард-рок,хард-рок","английский,английский",8:32 ,Track
Who Do You Love?,Бо Диддли,1957,"Леонард Чесс,Фил Чесс","рок-н-ролл,ритм-н-блюз",,2:18,Checker
Born to Be Wild,Steppenwolf,1968,,"Хард-рок,,,прото-метал,,",английский,,Dunhill
"Shake, Rattle and Roll",Биг Джо Тернер,1954,"Ахмет Эртегюн,Джерри Векслер","Рок-н-ролл,Рок-н-ролл,Рок-н-ролл","английский,английский,английский",3:20,Atlantic Records
Rock and Roll Music,Чак Берри,1957,"Леонард Чесс,Фил Чесс","Рок-н-ролл,рок-н-ролл","английский,английский",2:30,Chess Records
Changes,Дэвид Боуи,1971,Кен Скотт,"арт-поп,",,3:33,RCA Records
Jumpin’ Jack Flash,The Rolling Stones,1968,Джимми Миллер,хард-рок,английский,3:42,Decca
It’s a Man’s Man’s Man’s World,Джеймс Браун,1966,Джеймс Браун,"ритм-н-блюз,соул",английский,2:52,King Records
House of the Rising Sun,The Animals,1964,,"Блюз-рок,Фолк-рок",английский,4:29 ,
Go Your Own Way,Fleetwood Mac,1977,Fleetwood Mac,рок,английский,3:34,Warner Bros.
Stand by Me,Бен Кинг,1961,Джерри Либер и Майк Столлер,"Соул,ритм-энд-блюз,Рок,Кантри,Ритм-энд-блюз,соул,Соул,хип-хоп,Бачата","английский,английский,английский,английский,английский,английский",2,Atco
I Want You Back,The Jackson 5,1969,Берри Горди,"R&B,фанк,поп",английский,2:59,Motown
With or Without You,U2,1987,"Даниэль Лануа,Брайан Ино",Рок,английский,4:53,Island
Shout (Parts 1 and 2),The Isley Brothers,1959,,рок-н-ролл,,2:15 (часть 1),RCA
Crazy in Love,"Бейонсе,Jay-Z",2003,Бейонсе,"R&B,хип-хоп,фанк",английский,3:56,Columbia
Take Me to the River,Эл Грин,1974,,соул,английский,3:45,Hi
Honky Tonk Women,The Rolling Stones,1969,Джимми Миллер,"хард-рок,,рок-н-ролл,",английский,3:03,Decca
You Send Me,Сэм Кук,1957,,"Rhythm and blues,soul,traditional pop",английский,2:41,Keen
Up on the Roof,The Drifters,1962,Джерри Либер и Майк Столлер,"R&B,соул",,,Atlantic Records
That’s All Right,Элвис Пресли,1954,Сэм Филлипс,Рокабилли,английский,1:57,Sun Records
I’m So Lonesome I Could Cry,Хэнк Уильямс,1949,Фред Роуз,"Хиллбилли,хонки-тонк,кантри-блюз",английский,2 мин. 48 с.,
The Boxer,Simon & Garfunkel,1969,"Пол Саймон,Арт Гарфанкел",фолк-рок,английский,5:10,Columbia Records
I’ve Been Loving You Too Long (To Stop Now),Отис Реддинг,1965,"Джим Стюарт,Стив Кроппер",соул,английский,2:49,Volt
Brown Eyed Girl,Ван Моррисон,1967,,"рок,британский R&B",английский,3:03,Bang
Little Red Corvette,Принс,1983,Принс,"поп,,пост-диско,,фанк,,,рок,",,6:22,Warner Bros.
Not Fade Away,"Бадди Холли,The Crickets",1957,,"рок-н-ролл,рокабилли",английский,2:21,Brunswick
Voodoo Child (Slight Return),The Jimi Hendrix Experience,1968,Чес Чендлер,"психоделический рок,,блюз-рок,,хард-рок,",английский,5:12,Track
Crazy,Gnarls Barkley,2006,Danger Mouse,"нео-соул,,электроника,",английский,2:58,Downtown
Living for the City,Стиви Уандер,1973,Стиви Уандер,соул,английский,7:21 ,Tamla
Hot Stuff,Донна Саммер,1979,Джорджо Мородер,"диско,,рок,,танцевальная музыка","английский,английский",5:14 ,Casablanca Records
You Can’t Always Get What You Want,The Rolling Stones,1969,Джимми Миллер,"рок,госпел",английский,4,Decca
Fortunate Son,Creedence Clearwater Revival,1969,Джон Фогерти,"хард-рок,рутс-рок",английский,2:21,Fantasy Records
Love and Happiness,Эл Грин,1972,,"соул,диско,R&B",английский,5:07,London Records
Be-Bop-A-Lula,"Джин Винсент,Blue Caps",1956,,рок-н-ролл,английский,2:34,Capitol
Roll Over Beethoven,Чак Берри,1956,"Леонард Чесс,Фил Чесс",Рок-н-ролл,английский,,Chess
Great Balls of Fire,Джерри Ли Льюис,1957,Сэм Филлипс,"рок-н-ролл,рокабилли",английский,1:52,Sun
Blue Suede Shoes,Карл Перкинс,1956,Сэм Филлипс,"Рок-н-ролл,Рок-н-ролл","английский,английский",2:14,Sun Records
Good Golly Miss Molly,Литл Ричард,1958,,Рок-н-ролл,,2:07,Specialty Records
California Dreamin',The Mamas and The Papas,1965,Лу Адлер,"психоделический поп,фолк-рок",английский,2 мин. 42 с.,Dunhill
I Still Haven’t Found What I’m Looking For,U2,1987,"Даниэль Лануа,Брайан Ино","Рок,госпел",английский,4:37,Island Records
My Girl,The Temptations,1965,Смоки Робинсон,"соул,R&B",английский,2:59,Gordy Records
Blitzkrieg Bop,Ramones,1976,,"поп-панк,,,панк-рок,",английский,2:12,Sire
Suspicious Minds,Элвис Пресли,1969,Элвис Пресли,соул,английский,4:22,RCA
In the Still of the Night,The Five Satins,1956,The Five Satins,"ду-воп,ду-воп",,3:02,Ember
Ring of Fire,Джонни Кэш,1963,,"кантри,рок-н-ролл,психоделический рок,хард-рок,панк-рок,спид-метал,пауэр-метал","английский,английский,английский,английский",2:38,Columbia
Thunder Road,Брюс Спрингстин,1975,Брюс Спрингстин,рок,,4:49,Columbia Records
Crazy,Пэтси Клайн,1961,,"кантри,традиционная поп-музыка",,2:41,Decca
Every Breath You Take,The Police,1983,Хью Пэдхам,"новая волна,,софт-рок,",,(альбомная версия),A&M Records
Norwegian Wood (This Bird Has Flown),The Beatles,1965,Джордж Мартин,"Фолк-рок,,рага-рок,,психоделический фолк",английский,2:05,EMI
Blueberry Hill,Фэтс Домино,1956,Дейв Бартоломью,"Рок-н-ролл,ритм-энд-блюз",английский,2,Imperial
I Heard It Through the Grapevine,Марвин Гэй,1968,,Psychedelic soul,английский,3:16,Tamla
You Really Got Me,The Kinks,1964,,"хард-рок,,гаражный рок,,рок-н-ролл,,прото-панк,,хард-рок",,2:20,Pye
Mr. Tambourine Man,The Byrds,1965,,"фолк,фолк-рок",английский,5:29,Columbia
I Got You (I Feel Good),Джеймс Браун,1965,Джеймс Браун,"соул,фанк",английский,2:47,King Records (USA)
Papa’s Got a Brand New Bag,Джеймс Браун,1966,Джеймс Браун,"фанк,ритм-н-блюз,соул",,1:55 ,King Records
Mystery Train,Элвис Пресли,1955,Сэм Филлипс,Рокабилли,английский,,Sun Records
Strawberry Fields Forever,The Beatles,1967,Джордж Мартин,"Психоделический рок,,арт-поп,,прогрессивный поп,,психоделический поп,,эйсид-рок,",английский,4:10,Parlophone
Summertime Blues,Эдди Кокран,1958,,рокабилли,английский,01 ,Liberty Records
Superstition,Стиви Уандер,1972,Стиви Уандер,фанк,,4:26 (альбом),Tamla
California Girls,The Beach Boys,1965,Брайан Уилсон,"поп-рок,,California Sound,,поп-рок,хард-рок",,2:46,Capitol
Walk On By,Дайон Уорвик,1964,"Берт Бакарак,Хэл Дэвид","соул,поп",,2:55,Scepter
Crying,Рой Орбисон,1961,,поп-рок,английский,2 мин. 46 с.,Monument
Jailhouse Rock,Элвис Пресли,1957,,рок-н-ролл,английский,2:28,RCA Records
Redemption Song,"Боб Марли,The Wailers",1980,Крис Блэквелл,"Фолк,акустический рок",английский,3:49,Island
Sunshine of Your Love,Cream,1968,,"психоделический рок,,,хард-рок,,блюз-рок,",,"4:08 (альбомная версия), 3:03 (сингл версия)",
She Loves You,The Beatles,1963,Джордж Мартин,"поп-рок,",английский,2:17,Parlophone
For What It’s Worth,Buffalo Springfield,1967,,"фолк-рок,,кантри-рок,,психоделический рок,",,2:37,Atco
Tangled Up in Blue,Боб Дилан,1975,Боб Дилан,фолк-рок,,5:42,Columbia
Bo Diddley,Бо Диддли,1955,"Леонард Чесс,Фил Чесс","ритм-н-блюз,рок-н-ролл",английский,2:27,Checker
Whole Lotta Shakin’ Goin’ On,Джерри Ли Льюис,1957,,R&B,английский,,Sun Records
Let’s Stay Together,Эл Грин,1971,,"соул,R&B",английский,3:16,Hi 
The Times They Are a-Changin’,Боб Дилан,1964,,"Фолк,Фолк-рок","английский,английский",3:15,Columbia Records
A Whiter Shade of Pale,Procol Harum,1967,,"Психоделический рок,барокко-поп,прог-рок",английский,4:03,Deram Records
Anarchy in the UK,Sex Pistols,1977,Крис Томас,"панк-рок,хард-рок",,03:31,EMI
Long Tall Sally,Литл Ричард,1956,,рок-н-ролл,английский,2:10,Specialty Records
Billie Jean,Майкл Джексон,1983,"Майкл Джексон,Куинси Джонс","фанк,ритм-н-блюз,данс-поп",английский,4:50,Epic Records
Louie Louie,The Kingsmen,1963,,"Ритм-энд-блюз,рок-н-ролл,гаражный рок,прото-панк,хардкор-панк","английский,английский,английский",2:09,Posh Boy
When a Man Loves a Woman,Перси Следж,1966,,"R&B,соул,,блюз,традиционная поп-музыка",английский,2:51,Atlantic
When Doves Cry,Принс,1984,Принс,"Экспериментальный поп,,неопсиходелия,,авангардный поп,,соул,,минимализм,",английский,,Warner Bros.
The Message,Grandmaster Flash and the Furious Five,1982,Сильвия Робинсон,"хип-хоп,,,,осознанный хип-хоп,электро,,прогрессивный рэп,",,7:10,Sugar Hill Records
The Tracks of My Tears,"Смоки Робинсон,The Miracles",1965,Смоки Робинсон,соул,английский,2:55,Tamla
Hotel California,Eagles,1976,,блюз-рок,"английский,[3]",06:30,Asylum Records
All Along the Watchtower,The Jimi Hendrix Experience,1968,Джими Хендрикс,"фолк-рок,психоделический рок","английский,английский",2:31,Columbia Records
Bridge Over Troubled Water,Simon & Garfunkel,1970,"Пол Саймон,Арт Гарфанкел","софт-рок,,госпел,",английский,4:55,Columbia
Heroes,Дэвид Боуи,1977,Тони Висконти,"арт-рок,",английский,,RCA Records
Heartbreak Hotel,Элвис Пресли,1956,,Рок-н-ролл,английский,2:08,RCA Records
Georgia on My Mind,Рэй Чарльз,1960,,"Джаз,соул,блюз,традиционная поп-музыка,Джаз,соул,блюз,традиционная поп-музыка","английский,английский",3,Victor
Tutti Frutti,Литл Ричард,1955,,Рок-н-ролл,английский,2:25,Specialty Records
Dancing in the Street,Martha and the Vandellas,1964,,"ритм-н-блюз,соул,рок,поп-рок,","английский,английский,английский",2:40,Gordy
Waterloo Sunset,The Kinks,1968,Рей Дэвис,"психоделический поп,,оркестровый поп,,поп",,3:16,Polydor
The Weight,The Band,1968,,"фолк-рок,рутс-рок",,4:34,Capitol
Gimme Shelter,The Rolling Stones,1969,Джимми Миллер,"Блюз-рок,хард-рок",,4:37,Decca Records
"No Woman, No Cry","Боб Марли,The Wailers",1975,"Крис Блэквелл,Боб Марли,The Wailers",регги,английский,3:42 ,Tuff Gong
That’ll Be the Day,"Бадди Холли,The Crickets",1957,,рок-н-ролл,,2:16,
One,U2,1992,"Даниэль Лануа,Брайан Ино","Рок,баллада",английский,4:36,Island Records
Light My Fire,The Doors,1967,Пол Ротшильд,"психоделический рок,",английский,,Elektra Records
You’ve Lost That Lovin’ Feelin’,The Righteous Brothers,1964,Фил Спектор,"поп,поп","английский,английский",3:05,Parlophone
River Deep – Mountain High,"Айк Тёрнер,Тина Тёрнер",1966,Фил Спектор,"соул,поп",английский,3:40,Philles Records
Sympathy for the Devil,The Rolling Stones,1968,Джимми Миллер,рок,английский,6:28,
(Sittin’ on) The Dock of the Bay,Отис Реддинг,1968,Стив Кроппер,"ритм-н-блюз,соул,рок,поп-рок,adult contemporary",,2:38,Volt
A Day in the Life,The Beatles,1967,Джордж Мартин,"Арт-рок,,психоделический рок,,оркестровый поп,",английский,05:33,Parlophone
I Walk the Line,Джонни Кэш,1956,Сэм Филлипс,"кантри,рокабилли,рок-н-ролл,Хаус","английский,английский",2:45,Sun Records
Layla,Derek and the Dominos,1970,"Том Дауд,Derek and the Dominos","блюз-рок,блюз-рок,блюз","английский,английский,английский",7:02 - 7:11,Atco
Stairway to Heaven,Led Zeppelin,1971,Джимми Пейдж,"хард-рок,фолк-рок,прогрессивный рок",английский,08:01,Atlantic Records
Born to Run,Брюс Спрингстин,1975,Брюс Спрингстин,хартленд-рок,,4:30,Columbia Records
God Only Knows,The Beach Boys,1966,Брайан Уилсон,"Барокко-поп,,,,экспериментальный поп,,арт-поп,,психоделический рок,,барокко-поп","Английский,английский",2:55,Capitol
People Get Ready,The Impressions,1965,,соул,английский,2:38,ABC-Paramount
Help!,The Beatles,1965,Джордж Мартин,"Фолк-рок,",английский,2:18,Parlophone
Let It Be,The Beatles,1970,"Джордж Мартин,Фил Спектор","рок,,софт-рок,",английский,4:03,Apple
Hound Dog,Элвис Пресли,1956,,"ритм-н-блюз,рок-н-ролл","английский,английский",2:52,Peacock Records
Maybellene,Чак Берри,1955,"Леонард Чесс,Фил Чесс",Рок-н-ролл,,2:19,Chess Records
I Want to Hold Your Hand,The Beatles,1963,Джордж Мартин,поп-рок,английский,2:26,Parlophone
London Calling,The Clash,1980,,"Пост-панк,,панк-рок,",английский,3:18,CBS
Purple Haze,The Jimi Hendrix Experience,1967,Чес Чендлер,"Психоделический рок,,хард-рок,",английский,2:50,Track Records
